,brand,price
0,Teclado Brazilpc Usb Bpc-8236 Comum Preto 1.3m Box,"R$ 18,50"
1,"Teclado sem fio Logitech K270 com Teclas de Mídia de Fácil Acesso, Conexão USB, Pilhas Inclusas e Layout ABNT2 - 920-004427","R$ 129,99"
2,"Teclado Sem Fio Microsoft 850, ABNT2 - PZ300005","R$ 149,99"
3,"Teclado Sem Fio Logitech MX Keys Mini, Iluminação Smart, Bluetooth, USB, Easy-Switch, Recarregável, Cinza Claro - 920-010506","R$ 579,99"
4,"Teclado Sem Fio Maxprint Office, Multimídia, ABNT2 - 6013471","R$ 69,99"
5,Teclado Wireless Logitech K400 Plus 920-007125,"R$ 119,00"
6,"Teclado sem fio Logitech K380 com Bluetooth Easy-Switch para 3 dispositivos para PC, Mac, Chrome, Android, iOS, Apple TV, Cinza - 920-007564","R$ 229,99"
7,"Teclado Sem Fio Logitech Signature K650, Bluetooth, USB, Com Apoio para as Mãos, US, Grafite - 920-010911","R$ 249,99"
8,"Teclado sem fio Logitech K400 Plus TV com Touchpad Integrado, Conexão USB Unifying e Layout ABNT2 - 920-007125","R$ 129,99"
9,"Teclado Sem Fio Logitech Signature K650, Bluetooth, USB, Com Apoio para as Mãos, US, Branco - 920-010965","R$ 227,99"
10,"Teclado Mecânico Sem Fio Logitech MX Mechanical, Iluminação, Switch Tactile Quiet, Bluetooth, USB, Preto - 920-010760","R$ 979,99"
11,"Teclado Sem Fio Logitech, Bluetooth, US - 920-007564","R$ 234,00"
12,"Teclado Sem Fio Magic Keyboard Apple para Mac, Bluetooth, Conector Lightning USB-C, Branco - MK2A3BZ/A","R$ 889,99"
13,"Teclado Logitech Multimidia  Preto,Sem Fio K270","R$ 138,08"
14,"Teclado Mecânico Sem Fio Logitech MX Mechanical Mini, Iluminação, Switch Tactile Quiet, Bluetooth, USB, Preto - 920-010783","R$ 899,99"
15,"Teclado Sem Fio Logitech MX Keys S, Com Iluminação Inteligente, Bluetooth ou USB, Logi Bolt e Bateria Recarregável, Grafite - 920-011563","R$ 809,99"
